user_id,task_id,S_Start_Time,S_Duration,S_Duration_Cut,S_Duration_Net,S_Duration_GloAvg,S_Duration_SeaAvg,S_Duration_ResAvg,S_Actions_Glo,S_Actions_Sea,S_Actions_Res,S_Browser_Navigation,S_Tabs_glo,S_Episodes,S_Episodes_DurationAvg,S_Episodes_ActionsAvg,S_Queries_Glo,S_Queries_New,S_Queries_Rev,S_Queries_Rep,S_ResultDomain_New,S_ResultDomain_Same,S_ResultDomain_Seen,S_SearchDomain_New,S_SearchDomain_Same,S_SearchDomain_Seen,S_Domain_Spread,S_Action_Result_Bounce,S_Action_Result_Screen,S_Action_Result_Scan,S_Action_Result_Read,S_Action_Result_Analyze,S_Action_Search_Bounce,S_Action_Search_Skim,S_Action_Search_Scan,S_Action_Search_Read,S_Order
1201,5,2024-05-22 06:40:05,274.801,0.0,91.863,19.628642857142900,20.5685,16.323,14,4,1,3,2,4,30.621,1.3333333333333300,3,2,0,1,1,0,0,1,2,0,1.0,0,0,1,0,0,0,1,0,2,2
1202,5,2024-05-22 06:28:21,1280.566,0.0,608.369,98.50507692307690,95.93533333333340,426.367,13,3,1,0,3,3,304.1845,1.0,1,1,0,0,1,0,0,1,0,0,1.0,0,0,0,0,1,0,0,0,1,1
1203,5,2024-05-22 07:07:44,267.521,0.0,27.916,22.29341666666670,19.527,3.0,12,2,1,0,2,3,13.958,1.0,1,1,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0,0,0,0,1,3
1204,5,2024-05-22 06:52:48,451.363,0.0,331.13100000000000,20.5165,28.617363636363600,19.105,22,11,2,2,3,6,66.22620000000000,2.2,9,3,1,5,2,0,0,1,8,0,0.5,0,0,2,0,0,0,4,4,1,2
1205,5,2024-05-22 07:04:13,565.706,0.0,354.875,28.2853,23.69975,71.68533333333330,20,8,3,2,3,7,59.145833333333300,1.5,6,3,1,2,3,0,0,1,5,0,0.3333333333333330,0,1,0,1,1,0,1,4,1,3
1206,5,2024-05-22 06:39:41,346.522,0.0,103.783,24.751571428571400,4.7235,32.405,14,2,3,0,2,3,51.8915,2.0,1,1,0,0,1,2,0,1,0,0,0.3333333333333330,0,2,0,0,1,0,1,0,0,2
1207,5,2024-05-22 06:24:28,709.8850000000000,0.0,63.124,39.438055555555600,10.494,3.80975,18,5,4,4,2,4,21.041333333333300,2.6666666666666700,4,3,0,1,3,0,1,1,3,0,0.25,2,2,0,0,0,0,2,0,2,1
1208,5,2024-05-22 06:23:20,1380.196,0.0,940.203,51.118370370370400,89.672875,24.209000000000000,27,8,10,6,2,7,156.7005,2.8333333333333300,7,2,0,5,5,5,0,1,6,0,0.1,1,3,3,3,0,0,2,0,5,1
1209,5,2024-05-22 06:22:37,1470.557,0.0,379.499,66.8435,22.958400000000000,40.678625,22,5,8,0,4,4,126.49966666666700,3.3333333333333300,2,2,0,0,6,2,0,1,1,0,0.125,2,4,0,0,2,0,0,1,1,1
1210,5,2024-05-22 06:23:02,2200.0640000000000,0.0,1794.585,43.13850980392160,18.472888888888900,65.65408333333330,51,18,24,11,9,10,199.39833333333300,3.7777777777777800,10,4,2,4,7,14,3,1,9,0,0.041666666666666700,1,7,4,5,7,0,2,1,7,1
1211,5,2024-05-22 06:23:06,1643.6070000000000,0.0,1088.5710000000000,40.0879756097561,18.089454545454500,44.815904761904800,41,11,21,3,5,9,136.07137500000000,3.5,7,5,0,2,9,7,5,1,6,0,0.047619047619047600,3,8,5,0,5,0,2,2,3,1
1212,5,2024-05-22 06:49:40,205.15400000000000,0.0,6.95,18.65036363636360,3.95,3.0,11,1,1,0,1,2,6.95,2.0,1,1,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0,0,1,0,0,3
1213,5,2024-05-22 06:30:18,1412.18,0.0,1185.825,31.381777777777800,21.764000000000000,36.81775,45,4,32,2,4,4,395.27500000000000,11.0,1,1,0,0,9,16,7,1,0,0,0.03125,5,12,5,6,4,0,0,1,0,1
1215,5,2024-05-22 06:43:37,1073.811,0.0,254.74,59.656166666666700,25.63242857142860,98.2035,18,7,2,0,4,4,84.91333333333330,2.0,4,3,1,0,2,0,0,1,3,0,0.5,0,1,0,0,1,0,1,1,2,1
