user_id,task_id,S_Start_Time,S_Duration,S_Duration_Cut,S_Duration_Net,S_Duration_GloAvg,S_Duration_SeaAvg,S_Duration_ResAvg,S_Actions_Glo,S_Actions_Sea,S_Actions_Res,S_Browser_Navigation,S_Tabs_glo,S_Episodes,S_Episodes_DurationAvg,S_Episodes_ActionsAvg,S_Queries_Glo,S_Queries_New,S_Queries_Rev,S_Queries_Rep,S_ResultDomain_New,S_ResultDomain_Same,S_ResultDomain_Seen,S_SearchDomain_New,S_SearchDomain_Same,S_SearchDomain_Seen,S_Domain_Spread,S_Action_Result_Bounce,S_Action_Result_Screen,S_Action_Result_Scan,S_Action_Result_Read,S_Action_Result_Analyze,S_Action_Search_Bounce,S_Action_Search_Skim,S_Action_Search_Scan,S_Action_Search_Read,S_Order
922,6,2024-03-14 10:10:47,286.4,0.0,199.47,16.84705882352940,16.333666666666700,36.9298,17,3,5,0,3,4,66.49000000000000,2.0,1,1,0,0,2,2,1,1,0,0,0.2,1,0,2,1,1,0,0,0,1,2
923,6,2024-03-14 09:47:08,581.208,0.0,118.177,32.28933333333330,17.145333333333300,22.316000000000000,18,6,2,2,3,5,30.294250000000000,1.75,5,2,0,3,1,0,1,1,4,0,0.5,1,0,0,1,0,2,1,1,1,1
924,6,2024-03-14 10:07:26,717.769,0.0,204.44300000000000,28.71076,8.866428571428570,23.925375000000000,25,7,8,3,5,6,42.188000000000000,2.4,4,2,0,2,4,4,0,1,3,0,0.125,1,3,3,0,1,0,4,0,0,2
925,6,2024-03-14 10:11:37,890.7800000000000,0.0,561.684,38.72956521739130,8.918166666666670,63.521875000000000,23,6,8,9,1,8,80.24057142857140,2.0,6,1,0,5,4,2,2,1,5,0,0.125,1,2,1,2,2,0,3,2,1,2
926,6,2024-03-14 10:19:23,190.53,0.0,73.66,17.32090909090910,42.8245,,11,2,0,0,2,3,36.83,0.5,1,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,3
927,6,2024-03-14 10:00:39,253.149,0.0,48.288000000000000,18.082071428571400,22.173333333333300,3.6885,14,3,2,0,2,3,24.144000000000000,2.0,2,1,1,0,1,1,0,1,1,0,0.5,0,2,0,0,0,0,0,1,1,2
928,6,2024-03-14 10:02:24,982.688,0.0,366.968,49.1344,6.639400000000000,56.61633333333330,20,5,6,5,2,6,73.3936,2.0,4,1,1,2,3,2,1,1,3,0,0.16666666666666700,0,2,2,1,1,0,2,2,0,2
929,6,2024-03-14 09:48:33,153.004,0.0,3.0,15.3004,3.0,,10,1,0,0,1,2,3.0,1.0,1,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,3
930,6,2024-03-14 10:12:16,787.382,0.0,217.30800000000000,29.162296296296300,4.522,21.352,27,2,10,6,2,3,118.86400000000000,8.5,1,1,0,0,1,9,0,2,5,0,0.1,1,4,3,2,0,3,3,1,0,2
931,6,2024-03-14 10:12:25,560.5030000000000,0.0,82.16,32.970764705882300,17.9848,12.421666666666700,17,5,3,5,2,5,20.54,1.75,4,1,1,2,2,0,1,1,3,0,0.3333333333333330,1,1,0,1,0,0,2,0,2,2
934,6,2024-03-14 10:23:02,201.93600000000000,0.0,13.161,16.828,9.967000000000000,3.0,12,2,1,0,2,3,6.5805,1.0,1,1,0,0,1,0,0,1,0,0,1.0,0,1,0,0,0,0,0,1,0,2
936,6,2024-03-14 10:14:46,246.823,0.0,3.0,24.6823,3.0,,10,1,0,0,1,2,3.0,1.0,1,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,2
938,6,2024-03-14 09:46:27,694.18,0.0,3.0,63.10727272727270,17.302500000000000,,11,2,0,0,2,3,1.5,0.5,1,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,1
939,6,2024-03-14 10:23:02,204.666,0.0,89.023,14.619,9.78,23.15433333333330,14,2,3,1,1,3,44.5115,2.5,2,2,0,0,2,0,1,1,1,0,0.3333333333333330,0,1,1,1,0,0,1,0,1,2
940,6,2024-03-14 10:04:53,378.97800000000000,0.0,104.87000000000000,18.9489,10.282571428571400,13.622500000000000,20,7,4,6,2,6,20.974,2.0,6,1,1,4,4,0,0,1,5,0,0.25,0,2,2,0,0,0,2,3,1,2
941,6,2024-03-14 10:23:35,776.9330000000000,0.0,26.843000000000000,55.49521428571430,20.119666666666700,2.4405,14,3,2,0,2,3,13.421500000000000,2.0,2,1,1,0,1,1,0,1,1,0,0.5,1,1,0,0,0,0,1,0,1,3
942,6,2024-03-14 09:45:40,379.31400000000000,0.0,173.85400000000000,15.804750000000000,6.84,20.039714285714300,24,8,7,10,2,9,21.731750000000000,1.75,7,1,0,6,4,0,3,1,6,0,0.14285714285714300,1,2,3,0,1,2,3,2,0,1
943,6,2024-03-14 10:08:52,306.929,0.0,278.748,17.05161111111110,9.593500000000000,37.661142857142900,18,2,7,0,2,4,92.916,2.6666666666666700,1,1,0,0,3,4,0,1,0,0,0.14285714285714300,2,2,1,0,2,0,0,0,1,3
